name,pantheon,url,title,alternatives
Aitvaras,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/AITVARAS/,Fiery flying serpent and part-time rooster,nan
Alka,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/ALKA/,Holy places sacred to the Gods,nan
Aspelenie,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/ASPELENIE/,Domestic Snake Spirit,nan
Ašvieniai,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/ASVIENIAI/,Holy horse twins of the sun,"Asviniai, Asvinia"
Ausautas,Baltic mythology,https://www.godchecker.com/baltic-mythology/AUSCHAUTS/,A God of Health from Prussia,"Auschauts, Ausschauts"
Auseklis,Baltic mythology,https://www.godchecker.com/latvian-mythology/AUSEKLIS/,Latvian God of the Morning Star,Lielais-Auseklis
Aušrinė,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/AUSRINE/,Beautiful Dawn Goddess of the Morning Star,"Ausrine, Austerine"
Austeja,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/AUSTEJA/,Bee Goddess,Austéja
Autrimpas,Baltic mythology,https://www.godchecker.com/baltic-mythology/AUTRIMPAS/,Old Prussian God of the Sea and Large Lakes,Autrympas
Autrimpo,Baltic mythology,https://www.godchecker.com/baltic-mythology/PATRIMPAS/,An unreliable Prussian Grain God,"Potrympus, Potrimppo, Potrimpo, Potrimpus, Patrimpas, Natrimpe, Potrimpt, Potrimpas"
Bangpūtys,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/BANGPUTYS/,God of Storms and Waves,Bangputys
Bangu Māte,Baltic mythology,https://www.godchecker.com/latvian-mythology/BANGU-MATE/,Mother of the Waves,"Bangu Mate, Bangumāte, Bangumate"
Bubilas,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/BUBILAS/,The Lithuanian Bee God,nan
Caucos,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/KAUKAS/,Gnome spirits that bring wealth to granaries,Kaukas
Cerekling,Baltic mythology,https://www.godchecker.com/latvian-mythology/CERKLICING/,Top of the Crops,"Cerroklis, Ceroklis, Dewing Cereklicing, Cerklicing, Greklicing"
Chaurirari,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/KAURIRARIS/,God of War. Also God of Horses,Kauriraris
Debestevs,Baltic mythology,https://www.godchecker.com/latvian-mythology/DIEVS/,Latvian supreme Creator God,Dievs
Deivas,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/DIEVAS/,Lithuanian supreme Creator God,"Dievs, Deywis, Dievas"
Dēkla,Baltic mythology,https://www.godchecker.com/latvian-mythology/DEKLA/,Another Goddess of Destiny,Dekla
Dewing-Isching,Baltic mythology,https://www.godchecker.com/latvian-mythology/USINS/,Latvian Fertility God specializing in bees and horses,"Usins, Dewing-Usching, Ūsinš, Ūsenis"
Dimste,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/DIMSTIPATIS/,Slightly shady Guardian God of Farms and Houses,Dimstipatis
Diviriks,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/PERKUNAS/,The top Baltic Thunder God,"Perkunas, Perkana, Perkūnas"
Egle,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/EGLE/,Queen of the Serpents and Spirit of Spruce Trees,Eglė
Gabeta,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/GABIJA/,The Great Lithuanian Fire Goddess,"Gabjieta, Gabija, Gabieta"
Gabjauja,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/GABJAUJA/,Rather specialist Goddess of Threshing,"Gabjaujis, Gabjaujas"
Ganiklis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/GANIKLIS/,Forest God of Animal Welfare,nan
Gardaitis,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/GARDAITIS/,Protector of ships in the Baltic Sea,Gardeoldiis
Giltinė,Baltic mythology,https://www.godchecker.com/lithuanian-mythology/GILTINE/,Whiter shade of pale Goddess of Death,Giltine
